11区	(11 qū)
奥林匹克体育场	(ào lín pǐ kè tǐ yù chǎng)
奥林匹克运动会	(ào lín pǐ kè yùn dòng huì)
奥林匹克运动会组织委员会	(ào lín pǐ kè yùn dòng huì zǔ zhī wěi yuán huì)
奥林匹亚	(ào lín pǐ yà)
奥卢	(ào lú)
奥马尔	(ào mǎ ěr)
奥马哈	(ào mǎ hā)
奥米伽	(ào mǐ gā)
奥秘	(ào mì)
奥密克戎	(ào mì kè róng)
奥妙	(ào miào)
奥陌陌	(ào mò mò)
奥纳西斯	(ào nà xī sī)
奥派	(ào pài)
奥切诺斯	(ào qiē nuò sī)
奥塞罗	(ào sài luó)
奥塞梯	(ào sài tī)
奥赛罗	(ào sài luó)
奥什	(ào shí)
奥氏体	(ào shì tǐ)
奥数	(ào shù)
奥司他韦	(ào sī tā wéi)
奥斯丁	(ào sī dīng)
奥斯卡	(ào sī kǎ)
奥斯卡金像奖	(ào sī kǎ jīn xiàng jiǎng)
奥斯陆	(ào sī lù)
奥斯曼	(ào sī màn)
奥斯曼帝国	(ào sī màn dì guó)
奥斯特洛夫斯基	(ào sī tè luò fū sī jī)
奥斯汀	(ào sī tīng)
奥斯瓦尔德	(ào sī wǎ ěr dé)
奥斯威辛	(ào sī wēi xīn)
奥斯威辛集中营	(ào sī wēi xīn jí zhōng yíng)
奥斯维辛	(ào sī wéi xīn)
奥陶纪	(ào táo jì)
奥陶系	(ào táo xì)
奥特莱斯	(ào tè lái sī)
奥特朗托	(ào tè lǎng tuō)
奥特朗托海峡	(ào tè lǎng tuō hǎi xiá)
奥特曼	(ào tè màn)
奥托	(ào tuō)
奥威尔	(ào wēi ěr)
奥维耶多	(ào wéi yē duō)
奥委会	(ào wěi huì)
奥西娜斯	(ào xī nuó sī)
奥援	(ào yuán)
奥运	(ào yùn)
奥运村	(ào yùn cūn)
奥运会	(ào yùn huì)
奥运赛	(ào yùn sài)
奥组委	(ào zǔ wěi)
懊	(ào)
懊悔	(ào huǐ)
懊𢙐	(ào náo)
懊恼	(ào nǎo)
懊丧	(ào sàng)
八	(bā)
八八六	(bā bā liù)
八佰伴	(bā bǎi bàn)
八拜之交	(bā bài zhī jiāo)
八般头风	(bā bān tóu fēng)
八宝丹	(bā bǎo dān)
八宝饭	(bā bǎo fàn)
八宝山	(bā bǎo shān)
八宝山革命公墓	(bā bǎo shān gé mìng gōng mù)
八宝眼药	(bā bǎo yǎn yào)
八宝粥	(bā bǎo zhōu)
八倍体	(bā bèi tǐ)
八辈子	(bā bèi zi)
八边形	(bā biān xíng)
八步区	(bā bù qū)
八成	(bā chéng)
八冲	(bā chōng)
八达岭	(bā dá lǐng)
八达通	(bā dá tōng)
八达通卡	(bā dá tōng kǎ)
八大菜系	(bā dà cài xì)
八大元老	(bā dà yuán lǎo)
八带蛸	(bā dài shāo)
八带鱼	(bā dài yú)
八疸	(bā dǎn)
八疸身面黄	(bā dǎn shēn miàn huáng)
八度	(bā dù)
八段锦	(bā duàn jǐn)
八二丹	(bā èr dān)
八法	(bā fǎ)
八法拳	(bā fǎ quán)
八方	(bā fāng)
八分音符	(bā fēn yīn fú)
八分之一	(bā fēn zhī yī)
八风穴	(bā fēng xué)
八杆子打不着	(bā gān zi dǎ bù zháo)
八竿子打不着	(bā gān zi dǎ bù zháo)
八纲	(bā gāng)
八纲辨证	(bā gāng biàn zhèng)
八哥	(bā ge)
八哥儿	(bā gē r)
八哥狗	(bā gē gǒu)
八公山区	(bā gōng shān qū)
八股	(bā gǔ)
八股文	(bā gǔ wén)
八卦	(bā guà)
八卦拳	(bā guà quán)
八卦山	(bā guà shān)
八卦掌	(bā guà zhǎng)
八卦阵	(bā guà zhèn)
八会穴	(bā huì xué)
八级风	(bā jí fēng)
八级工	(bā jí gōng)
八级工资制	(bā jí gōng zī zhì)
八极拳	(bā jí quán)
八加一	(bā jiā yī)
八家将	(bā jiā jiàng)
八角	(bā jiǎo)
八角床	(bā jiǎo chuáng)
八角枫	(bā jiǎo fēng)
八角茴香	(bā jiǎo huí xiāng)
八角街	(bā jiǎo jiē)
八角笼	(bā jiǎo lóng)
八角形	(bā jiǎo xíng)
八戒	(bā jiè)
八进制	(bā jìn zhì)
八九不离十	(bā jiǔ bù lí shí)
八开	(bā kāi)
八苦	(bā kǔ)
八块腹肌	(bā kuài fù jī)
八廓	(bā kuò)
八廓街	(bā kuò jiē)
八老	(bā lǎo)
八里	(bā lǐ)
八里乡	(bā lǐ xiāng)
八路军	(bā lù jūn)
八美	(bā měi)
八面玲珑	(bā miàn líng lóng)
八面体	(bā miàn tǐ)
八目鳗	(bā mù mán)
八婆	(bā pó)
八岐大蛇	(bā qí dà shé)
八旗子弟	(bā qí zǐ dì)
八强	(bā qiáng)
八强赛	(bā qiáng sài)
八荣八耻	(bā róng bā chǐ)
八声杜鹃	(bā shēng dù juān)
八十	(bā shí)
八十天环游地球	(bā shí tiān huán yóu dì qiú)
八宿县	(bā sù xiàn)
八抬大轿	(bā tái dà jiào)
八仙	(bā xiān)
八仙过海，各显神通	(bā xiān guò hǎi , gè xiǎn shén tōng)
八仙桌	(bā xiān zhuō)
八相成道	(bā xiàng chéng dào)
八小时工作制	(bā xiǎo shí gōng zuò zhì)
八行书	(bā háng shū)
八音	(bā yīn)
八音盒	(bā yīn hé)
八月	(bā yuè)
八月份	(bā yuè fèn)
八月之光	(bā yuè zhī guāng)
八爪鱼	(bā zhuǎ yú)
八珍汤	(bā zhēn tāng)
八正道	(bā zhèng dào)
八重奏	(bā chóng zòu)
八字	(bā zì)
八字步	(bā zì bù)
八字方针	(bā zì fāng zhēn)
八字还没一撇	(bā zì hái méi yī piě)
八字还没一撇儿	(bā zì hái méi yī piě r)
八字胡	(bā zì hú)
八字胡须	(bā zì hú xū)
八字脚	(bā zì jiǎo)
八字没一撇	(bā zì méi yī piě)
八字眉	(bā zì méi)
八字命理	(bā zì mìng lǐ)
八字形	(bā zì xíng)
丷	(bā)
仈	(bā)
巴	(bā)
巴阿	(bā ā)
巴巴	(bā bā)
巴巴多斯	(bā bā duō sī)
巴巴结结	(bā bā jiē jiē)
巴巴拉	(bā bā lā)
巴宝莉	(bā bǎo lì)
巴贝虫病	(bā bèi chóng bìng)
巴贝多	(bā bèi duō)
巴贝氏虫病	(bā bèi shì chóng bìng)
巴比Q	(bā bǐ q)
巴比伦	(bā bǐ lún)
巴比妥	(bā bǐ tuǒ)
巴闭	(bā bì)
巴不得	(bā bu de)
巴不能够	(bā bù néng gòu)
巴布·狄伦	(bā bù dí lún)
巴布尔	(bā bù ěr)
巴布拉族	(bā bù lā zú)
巴布亚纽几内亚	(bā bù yà niǔ jī nèi yà)
巴布亚新几内亚	(bā bù yà xīn jǐ nèi yà)
巴布延群岛	(bā bù yán qún dǎo)
巴楚县	(bā chǔ xiàn)
巴达木	(bā dá mù)
巴旦木	(bā dàn mù)
巴旦杏	(bā dàn xìng)
巴德尔	(bā dé ěr)
巴登	(bā dēng)
巴登－符腾堡州	(bā dēng fú téng bǎo zhōu)
巴东县	(bā dōng xiàn)
巴斗	(bā dǒu)
巴豆	(bā dòu)
巴豆壳	(bā dòu ké)
巴豆属	(bā dòu shǔ)
巴豆树	(bā dòu shù)
巴尔的摩	(bā ěr dì mó)
巴尔多禄茂	(bā ěr duō lù mào)
巴尔干	(bā ěr gàn)
巴尔干半岛	(bā ěr gàn bàn dǎo)
巴尔喀什湖	(bā ěr kā shí hú)
巴尔舍夫斯基	(bā ěr shě fū sī jī)
巴尔扎克	(bā ěr zhā kè)
巴伐利亚	(bā fá lì yà)
巴甫洛夫	(bā fǔ luò fū)
巴高望上	(bā gāo wàng shàng)
巴哥	(bā gē)
巴哥犬	(bā gē quǎn)
巴格达	(bā gé dá)
巴格兰	(bā gé lán)
巴格兰省	(bā gé lán shěng)
巴哈	(bā hā)
巴哈马	(bā hā mǎ)
巴哈伊	(bā hā yī)
巴赫	(bā hè)
巴唧	(bā ji)
巴唧巴唧	(bā ji bā ji)
巴基斯坦	(bā jī sī tǎn)
巴戟	(bā jǐ)
巴结	(bā jie)
巴解	(bā jiě)
巴解组织	(bā jiě zǔ zhī)
巴金	(bā jīn)
巴金森氏症	(bā jīn sēn shì zhèng)
巴卡拉瓦	(bā kǎ lā wǎ)
巴克科斯	(bā kè kē sī)
巴克拉瓦	(bā kè lā wǎ)
巴克莱	(bā kè lái)
巴克莱银行	(bā kè lái yín háng)
巴克斯	(bā kè sī)
巴克特里亚	(bā kè tè lǐ yà)
巴克夏猪	(bā kè xià zhū)
巴控克什米尔	(bā kòng kè shí mǐ ěr)
巴枯宁主义	(bā kū níng zhǔ yì)
巴库	(bā kù)
巴拉巴斯	(bā lā bā sī)
巴拉圭	(bā lā guī)
巴拉基列夫	(bā lā jī liè fū)
巴拉克	(bā lā kè)
巴拉马利波	(bā lā mǎ lì bō)
巴勒莫	(bā lè mò)
巴勒斯坦	(bā lè sī tǎn)
巴勒斯坦解放组织	(bā lè sī tǎn jiě fàng zǔ zhī)
巴勒斯坦民族权力机构	(bā lè sī tǎn mín zú quán lì jī gòu)
巴厘	(bā lí)
巴厘岛	(bā lí dǎo)
巴黎	(bā lí)
巴黎大学	(bā lí dà xué)
巴黎绿	(bā lí lǜ)
巴黎圣母院	(bā lí shèng mǔ yuàn)
巴里	(bā lǐ)
巴里坤草原	(bā lǐ kūn cǎo yuán)
巴里坤哈萨克自治县	(bā lǐ kūn hā sà kè zì zhì xiàn)
巴力	(bā lì)
巴力门	(bā lì mén)
巴利	(bā lì)
巴利文	(bā lì wén)
巴林	(bā lín)
巴林右	(bā lín yòu)
巴林右旗	(bā lín yòu qí)
巴林左	(bā lín zuǒ)
巴林左旗	(bā lín zuǒ qí)
巴录	(bā lù)
巴伦西亚	(bā lún xī yà)
巴伦支海	(bā lún zhī hǎi)
巴罗克	(bā luó kè)
巴洛克	(bā luò kè)
巴马干酪	(bā mǎ gān lào)
巴马科	(bā mǎ kē)
巴马瑶族自治县	(bā mǎ yáo zú zì zhì xiàn)
巴莫	(bā mò)
巴拿芬	(bā ná fēn)
巴拿马	(bā ná mǎ)
巴拿马城	(bā ná mǎ chéng)
巴拿马运河	(bā ná mǎ yùn hé)
巴南区	(bā nán qū)
巴尼亚卢卡	(bā ní yà lú kǎ)
巴纽	(bā niǔ)
巴前算后	(bā qián suàn hòu)
巴青县	(bā qīng xiàn)
巴瑞	(bā ruì)
巴萨	(bā sà)
巴塞尔	(bā sài ěr)
巴塞隆纳	(bā sài lóng nà)
巴塞罗那	(bā sài luó nà)
巴三览四	(bā sān lǎn sì)
巴沙鱼	(bā shā yú)
巴刹	(bā shā)
巴山	(bā shān)
巴山蜀水	(bā shān shǔ shuǐ)
巴山夜雨	(bā shān yè yǔ)
巴山越岭	(bā shān yuè lǐng)
巴蛸	(bā shāo)
巴生	(bā shēng)
巴士	(bā shì)
巴士底	(bā shì dǐ)
巴士海峡	(bā shì hǎi xiá)
巴士拉	(bā shì lā)
巴士站	(bā shì zhàn)
巴氏	(bā shì)
巴氏杀菌	(bā shì shā jūn)
巴氏涂片	(bā shì tú piàn)
巴适	(bā shì)
巴蜀	(bā shǔ)
巴斯	(bā sī)
巴斯德	(bā sī dé)
巴斯蒂亚	(bā sī dì yà)
巴斯克	(bā sī kè)
巴斯克语	(bā sī kè yǔ)
巴斯特尔	(bā sī tè ěr)
巴松	(bā sōng)
巴松管	(bā sōng guǎn)
巴颂管	(bā sòng guǎn)
巴坦群岛	(bā tǎn qún dǎo)
巴塘县	(bā táng xiàn)
巴特	(bā tè)
巴特纳	(bā tè nà)
巴铁	(bā tiě)
巴头探脑	(bā tóu tàn nǎo)
巴吞鲁日	(bā tūn lǔ rì)
巴望	(bā wàng)
巴乌	(bā wū)
巴西	(bā xī)
巴西利亚	(bā xī lì yà)
巴西柔术	(bā xī róu shù)
巴西战舞	(bā xī zhàn wǔ)
巴希尔	(bā xī ěr)
巴仙	(bā xiān)
巴先	(bā xiān)
巴县	(bā xiàn)
巴心巴肝	(bā xīn bā gān)
巴新	(bā xīn)
巴颜喀拉	(bā yán kā lā)
巴彦淖尔市	(bā yàn nào ěr shì)
巴彦县	(bā yàn xiàn)
巴耶利巴	(bā yē lì bā)
巴伊兰大学	(bā yī lán dà xué)
巴宜区	(bā yí qū)
巴以	(bā yǐ)
巴音布克草原	(bā yīn bù kè cǎo yuán)
巴音郭楞蒙古自治州	(bā yīn guō léng měng gǔ zì zhì zhōu)
巴音满都呼	(bā yīn mǎn dū hū)
巴宰族	(bā zǎi zú)
巴扎	(bā zhā)
巴掌	(bā zhang)
巴中市	(bā zhōng shì)
巴州	(bā zhōu)
巴州区	(bā zhōu qū)
巴祖卡	(bā zǔ kǎ)
扒	(bā)
扒车	(bā chē)
扒钉	(bā dīng)
扒饭	(pá fàn)
扒粪	(pá fèn)
扒高踩低	(pá gāo cǎi dī)
扒糕	(pá gāo)
扒灰	(pá huī)
扒开	(bā kāi)
扒拉	(bā la)
扒犁	(pá lí)
扒搂	(pá lou)
扒皮	(bā pí)
扒窃	(pá qiè)
扒手	(pá shǒu)
扒头儿	(bā tou r)
扒屋牵牛	(bā wū qiān niú)
叭	(bā)
叭啦狗	(bā lā gǒu)
朳	(bā)
岜	(bā)
捌	(bā)
鲃	(bā)
鲃鱼	(bā yú)
拔	(bá)
拔出萝卜带出泥	(bá chū luó bo dài chū ní)
拔除	(bá chú)
拔萃	(bá cuì)
拔地	(bá dì)
拔地而起	(bá dì ér qǐ)
拔掉	(bá diào)
拔钉锤	(bá dīng chuí)
拔顶	(bá dǐng)
拔毒	(bá dú)
拔高	(bá gāo)
拔根	(bá gēn)
拔根汗毛比腰粗	(bá gēn hàn máo bǐ yāo cū)
拔罐	(bá guàn)
拔罐法	(bá guàn fǎ)
拔罐子	(bá guàn zi)
拔海	(bá hǎi)
拔河	(bá hé)
拔火罐	(bá huǒ guàn)
拔火罐儿	(bá huǒ guàn r)
拔尖	(bá jiān)
拔尖儿	(bá jiān r)
拔节	(bá jié)
拔节期	(bá jié qī)
拔凉拔凉	(bá liáng bá liáng)
拔毛	(bá máo)
拔毛连茹	(bá máo lián rú)
拔茅连茹	(bá máo lián rú)
拔茅茹	(bá máo rú)
拔锚	(bá máo)
拔苗助长	(bá miáo zhù zhǎng)
拔取	(bá qǔ)
拔群	(bá qún)
拔染	(bá rǎn)
拔示巴	(bá shì bā)
拔丝	(bá sī)
拔腿	(bá tuǐ)
拔牙	(bá yá)
拔秧	(bá yāng)
拔营	(bá yíng)
拔擢	(bá zhuó)
妭	(bá)
把	(bǎ)
把拔	(bǎ bá)
把柄	(bǎ bǐng)
把持	(bǎ chí)
把持不定	(bǎ chí bù dìng)
把舵	(bǎ duò)
把儿	(bà r)
把方便当随便	(bǎ fāng biàn dàng suí biàn)
把风	(bǎ fēng)
把关	(bǎ guān)
把酒	(bǎ jiǔ)
把酒言欢	(bǎ jiǔ yán huān)
把控	(bǎ kòng)
把立	(bǎ lì)
把马子	(bǎ mǎ zi)
把脉	(bǎ mài)
把妹	(bǎ mèi)
把袂	(bǎ mèi)
把门	(bǎ mén)
把尿	(bǎ niào)
把弄	(bǎ nòng)
把屎	(bǎ shǐ)
把式	(bǎ shì)
把手	(bǎ shǒu)
把守	(bǎ shǒu)
把头	(bǎ tóu)
把玩	(bǎ wán)
把稳	(bǎ wěn)
把握	(bǎ wò)
把戏	(bǎ xì)
把心放在肚子里	(bǎ xīn fàng zài dù zi lǐ)
把兄弟	(bǎ xiōng dì)
把子	(bà zi)
把总	(bǎ zǒng)
㞎	(bǎ)
㞎㞎	(bǎ ba)
坝	(bà)
弝	(bà)
欛	(bà)
吧	(ba)
吧嗒	(bā da)
吧唧	(bā jī)
吧唧吧唧	(bā ji bā ji)
吧啦吧啦	(bā lā bā lā)
吧女	(bā nǚ)
吧台	(bā tái)
吧托	(bā tuō)
吧托女	(bā tuō nǚ)
吧务	(bā wù)
吧主	(bā zhǔ)
掰	(bāi)
掰掰	(bāi bāi)
掰扯	(bāi che)
掰开	(bāi kāi)
掰开揉碎	(bāi kāi róu suì)
掰手腕	(bāi shǒu wàn)
掰弯	(bāi wān)
掰腕子	(bāi wàn zi)
掰直	(bāi zhí)
佰	(bǎi)
柏	(bǎi)
柏柏尔	(bò bò ěr)
柏蒂切利	(bó dì qiè lì)
柏节松操	(bǎi jié sōng cāo)
柏举之战	(bǎi jǔ zhī zhàn)
柏克郡	(bó kè jùn)
柏克莱	(bǎi kè lái)
柏拉图	(bó lā tú)
柏拉图哲学	(bó lā tú zhé xué)
柏辽兹	(bó liáo zī)
柏林	(bó lín)
柏林工业大学	(bó lín gōng yè dà xué)
柏林墙	(bó lín qiáng)
柏林围墙	(bó lín wéi qiáng)
柏崎	(bǎi qí)
柏崎市	(bǎi qí shì)
柏崎刈羽	(bǎi qí yì yǔ)
柏青哥	(bó qīng gē)
柏树	(bǎi shù)
柏乡县	(bǎi xiāng xiàn)
柏油	(bǎi yóu)
柏油路	(bǎi yóu lù)
柏油马路	(bǎi yóu mǎ lù)
柏悦	(bó yuè)
柏孜克里克千佛洞	(bó zī kè lǐ kè qiān fó dòng)
捭	(bǎi)
摆	(bǎi)
摆布	(bǎi bù)
摆出	(bǎi chū)
摆荡	(bǎi dàng)
摆地摊	(bǎi dì tān)
摆动	(bǎi dòng)
摆渡	(bǎi dù)
摆渡车	(bǎi dù chē)
摆放	(bǎi fàng)
摆花架子	(bǎi huā jià zi)
摆晃	(bǎi huàng)
摆架子	(bǎi jià zi)
摆阔	(bǎi kuò)
摆烂	(bǎi làn)
摆了一道	(bǎi le yī dào)
摆龙门阵	(bǎi lóng mén zhèn)
摆轮	(bǎi lún)
摆卖	(bǎi mài)
摆满	(bǎi mǎn)
摆门面	(bǎi mén miàn)
摆明	(bǎi míng)
摆弄	(bǎi nòng)
摆拍	(bǎi pāi)
摆盘	(bǎi pán)
摆平	(bǎi píng)
摆谱	(bǎi pǔ)
摆谱儿	(bǎi pǔ r)
摆设	(bǎi shè)
摆设儿	(bǎi she r)
摆事实讲道理	(bǎi shì shí jiǎng dào lǐ)
摆饰	(bǎi shì)
摆手	(bǎi shǒu)
摆摊	(bǎi tān)
摆摊子	(bǎi tān zi)
摆脱	(bǎi tuō)
摆乌龙	(bǎi wū lóng)
摆线	(bǎi xiàn)
摆样子	(bǎi yàng zi)
摆造型	(bǎi zào xíng)
摆钟	(bǎi zhōng)
摆子	(bǎi zi)
败	(bài)
败北	(bài běi)
败笔	(bài bǐ)
败德	(bài dé)
败毒	(bài dú)
败光	(bài guāng)
败坏	(bài huài)
败火	(bài huǒ)
败绩	(bài jì)
败家	(bài jiā)
败家子	(bài jiā zǐ)
败局	(bài jú)
败类	(bài lèi)
败柳残花	(bài liǔ cán huā)
败露	(bài lù)
败落	(bài luò)
败诉	(bài sù)
败退	(bài tuì)
败亡	(bài wáng)
败胃	(bài wèi)
败兴	(bài xìng)
败絮	(bài xù)
败选	(bài xuǎn)
败血症	(bài xuè zhèng)
败战	(bài zhàn)
败仗	(bài zhàng)
败阵	(bài zhèn)
败子回头	(bài zǐ huí tóu)
败走	(bài zǒu)
拜	(bài)
拜把子	(bài bǎ zi)
拜拜	(bài bai)
拜别	(bài bié)
拜忏	(bài chàn)
拜城县	(bài chéng xiàn)
拜倒	(bài dǎo)
拜登	(bài dēng)
拜读	(bài dú)
拜访	(bài fǎng)
拜佛	(bài fó)
拜会	(bài huì)
拜祭	(bài jì)
拜见	(bài jiàn)
拜节	(bài jié)
拜金	(bài jīn)
拜金女	(bài jīn nǚ)
拜金主义	(bài jīn zhǔ yì)
拜科努尔	(bài kē nǔ ěr)
拜科努尔航天发射基地	(bài kē nǔ ěr háng tiān fā shè jī dì)
拜伦	(bài lún)
拜魔	(bài mó)
拜你所赐	(bài nǐ suǒ cì)
拜年	(bài nián)
拜票	(bài piào)
拜泉县	(bài quán xiàn)
拜人为师	(bài rén wéi shī)
拜认	(bài rèn)
拜师	(bài shī)
拜寿	(bài shòu)
拜堂	(bài táng)
拜天地	(bài tiān dì)
拜托	(bài tuō)
拜望	(bài wàng)
拜物教	(bài wù jiào)
拜谒	(bài yè)
拜占庭	(bài zhàn tíng)
扳	(bān)
扳本	(bān běn)
扳本儿	(bān běn r)
扳不倒儿	(bān bù dǎo r)
扳道	(bān dào)
扳道岔	(bān dào chà)
扳道员	(bān dào yuán)
扳动	(bān dòng)
扳回	(bān huí)
扳回一城	(bān huí yī chéng)
扳机	(bān jī)
扳价	(bān jià)
扳龙附凤	(bān lóng fù fèng)
扳平	(bān píng)
扳钳	(bān qián)
扳手	(bān shǒu)
扳罾	(bān zēng)
扳指	(bān zhǐ)
扳指儿	(bān zhǐ r)
扳子	(bān zi)
攽	(bān)
斑	(bān)
斑白	(bān bái)
斑斑	(bān bān)
斑背大尾莺	(bān bèi dà wěi yīng)
斑背潜鸭	(bān bèi qián yā)
斑背燕尾	(bān bèi yàn wěi)
斑背噪鹛	(bān bèi zào méi)
斑鳖	(bān biē)
斑剥	(bān bō)
斑驳	(bān bó)
斑驳陆离	(bān bó lù lí)
斑翅凤头鹃	(bān chì fèng tóu juān)
斑翅椋鸟	(bān chì liáng niǎo)
斑翅鹩鹛	(bān chì liáo méi)
斑翅拟蜡嘴雀	(bān chì nǐ là zuǐ què)
斑翅山鹑	(bān chì shān chún)
斑翅朱雀	(bān chì zhū què)
斑点	(bān diǎn)
斑点狗	(bān diǎn gǒu)
斑鸫	(bān dōng)
斑海豹	(bān hǎi bào)
斑痕	(bān hén)
斑喉希鹛	(bān hóu xī méi)
斑姬鹟	(bān jī wēng)
斑姬啄木鸟	(bān jī zhuó mù niǎo)
斑鱾	(bān jǐ)
斑颈穗鹛	(bān jǐng suì méi)
斑鸠	(bān jiū)
斑块	(bān kuài)
斑斓	(bān lán)
斑鳢	(bān lǐ)
斑脸海番鸭	(bān liǎn hǎi fān yā)
斑椋鸟	(bān liáng niǎo)
斑羚	(bān líng)
斑鹭	(bān lù)
斑马	(bān mǎ)
斑马线	(bān mǎ xiàn)
斑马鱼	(bān mǎ yú)
斑头大翠鸟	(bān tóu dà cuì niǎo)
斑头绿拟啄木鸟	(bān tóu lǜ nǐ zhuó mù niǎo)
斑头鸺鹠	(bān tóu xiū liú)
斑头雁	(bān tóu yàn)
斑秃	(bān tū)
斑尾塍鹬	(bān wěi chéng yù)
斑尾鹃鸠	(bān wěi juān jiū)
斑尾林鸽	(bān wěi lín gē)
斑尾榛鸡	(bān wěi zhēn jī)
斑文鸟	(bān wén niǎo)
斑纹	(bān wén)
斑鹟	(bān wēng)
斑胁姬鹛	(bān xié jī méi)
斑胁田鸡	(bān xié tián jī)
斑胸滨鹬	(bān xiōng bīn yù)
斑胸短翅莺	(bān xiōng duǎn chì yīng)
斑胸钩嘴鹛	(bān xiōng gōu zuǐ méi)
斑胸田鸡	(bān xiōng tián jī)
斑胸噪鹛	(bān xiōng zào méi)
斑岩	(bān yán)
斑腰燕	(bān yāo yàn)
斑鱼狗	(bān yú gǒu)
斑疹热	(bān zhěn rè)
斑疹伤寒	(bān zhěn shāng hán)
斑竹	(bān zhú)
斑嘴鹈鹕	(bān zuǐ tí hú)
斑嘴鸭	(bān zuǐ yā)
搬	(bān)
搬兵	(bān bīng)
搬场	(bān chǎng)
搬出去	(bān chū qù)
搬唇递舌	(bān chún dì shé)
搬动	(bān dòng)
搬家	(bān jiā)
搬口	(bān kǒu)
搬弄	(bān nòng)
搬弄是非	(bān nòng shì fēi)
搬铺	(bān pù)
搬起石头砸自己的脚	(bān qǐ shí tou zá zì jǐ de jiǎo)
搬迁	(bān qiān)
搬迁户	(bān qiān hù)
搬请	(bān qǐng)
搬石头砸自己的脚	(bān shí tou zá zì jǐ de jiǎo)
搬唆	(bān suō)
搬楦头	(bān xuàn tou)
搬移	(bān yí)
搬用	(bān yòng)
搬运	(bān yùn)
搬运工	(bān yùn gōng)
搬指	(bān zhǐ)
搬砖	(bān zhuān)
搬砖砸脚	(bān zhuān zá jiǎo)
搬走	(bān zǒu)
斒	(bān)
坂	(bǎn)
坂本	(bǎn běn)
坂井	(bǎn jǐng)
板	(bǎn)
板板	(bǎn bǎn)
板板六十四	(bǎn bǎn liù shí sì)
板壁	(bǎn bì)
板擦	(bǎn cā)
板擦儿	(bǎn cā r)
板材	(bǎn cái)
板车	(bǎn chē)
板寸	(bǎn cùn)
板凳	(bǎn dèng)
板儿爷	(bǎn r yé)
板房	(bǎn fáng)
板斧	(bǎn fǔ)
板沟	(bǎn gōu)
板鼓	(bǎn gǔ)
板规	(bǎn guī)
板胡	(bǎn hú)
板结	(bǎn jié)
板块	(bǎn kuài)
板块构造	(bǎn kuài gòu zào)
板块理论	(bǎn kuài lǐ lùn)
板蓝根	(bǎn lán gēn)
板栗	(bǎn lì)
板脸	(bǎn liǎn)
板梁桥	(bǎn liáng qiáo)
板楼	(bǎn lóu)
板门店	(bǎn mén diàn)
板面	(bǎn miàn)
板皮	(bǎn pí)
板桥	(bǎn qiáo)
板桥市	(bǎn qiáo shì)
板球	(bǎn qiú)
板上钉钉	(bǎn shàng dìng dīng)
板式塔	(bǎn shì tǎ)
板书	(bǎn shū)
板刷	(bǎn shuā)
板条	(bǎn tiáo)
板条箱	(bǎn tiáo xiāng)
板鞋	(bǎn xié)
板鸭	(bǎn yā)
板牙	(bǎn yá)
板烟	(bǎn yān)
板岩	(bǎn yán)
板眼	(bǎn yǎn)
板油	(bǎn yóu)
板羽球	(bǎn yǔ qiú)
板扎	(bǎn zhā)
板纸	(bǎn zhǐ)
板滞	(bǎn zhì)
板主	(bǎn zhǔ)
板筑	(bǎn zhù)
板砖	(bǎn zhuān)
板桩	(bǎn zhuāng)
板状	(bǎn zhuàng)
板子	(bǎn zi)
昄	(bǎn)
半	(bàn)
半白	(bàn bái)
半百	(bàn bǎi)
半半拉拉	(bàn bàn lā lā)
半宝石	(bàn bǎo shí)
半保留复制	(bàn bǎo liú fù zhì)
半辈子	(bàn bèi zi)
半壁江山	(bàn bì jiāng shān)
半边	(bàn biān)
半边天	(bàn biān tiān)
半表半里	(bàn biǎo bàn lǐ)
半场	(bàn chǎng)
半成品	(bàn chéng pǐn)
半翅目	(bàn chì mù)
半打	(bàn dá)
半大	(bàn dà)
半大不小	(bàn dà bù xiǎo)
半大小子	(bàn dà xiǎo zǐ)
半导瓷	(bàn dǎo cí)
半导体	(bàn dǎo tǐ)
半岛	(bàn dǎo)
半岛电视台	(bàn dǎo diàn shì tái)
半岛国际学校	(bàn dǎo guó jì xué xiào)
半点	(bàn diǎn)
半吊子	(bàn diào zi)
半懂不懂	(bàn dǒng bù dǒng)
半蹲	(bàn dūn)
半分	(bàn fēn)
半分儿	(bàn fēn r)
半封建	(bàn fēng jiàn)
半封建半殖民地	(bàn fēng jiàn bàn zhí mín dì)
半复赛	(bàn fù sài)
半个	(bàn ge)
半个人	(bàn ge rén)
半工半读	(bàn gōng bàn dú)
半公开	(bàn gōng kāi)
半拱	(bàn gǒng)
半官方	(bàn guān fāng)
半胱氨酸	(bàn guāng ān suān)
半规管	(bàn guī guǎn)
半规则	(bàn guī zé)
半跏坐	(bàn jiā zuò)
半价	(bàn jià)
半间不界	(bàn gān bù gà)
半腱肌	(bàn jiàn jī)
半截	(bàn jié)
半截衫	(bàn jié shān)
半斤八两	(bàn jīn bā liǎng)
半径	(bàn jìng)
半决赛	(bàn jué sài)
半开半关	(bàn kāi bàn guān)
半开化	(bàn kāi huà)
半开门	(bàn kāi mén)
半开门儿	(bàn kāi mén r)
半空	(bàn kōng)
半空中	(bàn kōng zhōng)
半拉	(bàn lǎ)
半劳动力	(bàn láo dòng lì)
半老徐娘	(bàn lǎo xú niáng)
半流食	(bàn liú shí)
半流体	(bàn liú tǐ)
