11區	(11 qū)
奧里里亞	(ào lǐ lǐ yà)
奧里薩邦	(ào lǐ sà bāng)
奧利安	(ào lì ān)
奧利奧	(ào lì ào)
奧利給	(ào lì gěi)
奧利維亞	(ào lì wéi yà)
奧林巴斯	(ào lín bā sī)
奧林匹克	(ào lín pǐ kè)
奧林匹克體育場	(ào lín pǐ kè tǐ yù chǎng)
奧林匹克運動會	(ào lín pǐ kè yùn dòng huì)
奧林匹克運動會組織委員會	(ào lín pǐ kè yùn dòng huì zǔ zhī wěi yuán huì)
奧林匹亞	(ào lín pǐ yà)
奧盧	(ào lú)
奧馬爾	(ào mǎ ěr)
奧馬哈	(ào mǎ hā)
奧米伽	(ào mǐ gā)
奧祕	(ào mì)
奧密克戎	(ào mì kè róng)
奧妙	(ào miào)
奧陌陌	(ào mò mò)
奧納西斯	(ào nà xī sī)
奧派	(ào pài)
奧切諾斯	(ào qiē nuò sī)
奧塞羅	(ào sài luó)
奧塞梯	(ào sài tī)
奧賽羅	(ào sài luó)
奧什	(ào shí)
奧氏體	(ào shì tǐ)
奧數	(ào shù)
奧司他韋	(ào sī tā wéi)
奧斯丁	(ào sī dīng)
奧斯卡	(ào sī kǎ)
奧斯卡金像獎	(ào sī kǎ jīn xiàng jiǎng)
奧斯陸	(ào sī lù)
奧斯曼	(ào sī màn)
奧斯曼帝國	(ào sī màn dì guó)
奧斯特洛夫斯基	(ào sī tè luò fū sī jī)
奧斯汀	(ào sī tīng)
奧斯瓦爾德	(ào sī wǎ ěr dé)
奧斯威辛	(ào sī wēi xīn)
奧斯威辛集中營	(ào sī wēi xīn jí zhōng yíng)
奧斯維辛	(ào sī wéi xīn)
奧陶紀	(ào táo jì)
奧陶系	(ào táo xì)
奧特萊斯	(ào tè lái sī)
奧特朗托	(ào tè lǎng tuō)
奧特朗托海峽	(ào tè lǎng tuō hǎi xiá)
奧特曼	(ào tè màn)
奧托	(ào tuō)
奧威爾	(ào wēi ěr)
奧維耶多	(ào wéi yē duō)
奧委會	(ào wěi huì)
奧西娜斯	(ào xī nuó sī)
奧援	(ào yuán)
奧運	(ào yùn)
奧運村	(ào yùn cūn)
奧運會	(ào yùn huì)
奧運賽	(ào yùn sài)
奧組委	(ào zǔ wěi)
嶴	(ào)
懊	(ào)
懊悔	(ào huǐ)
懊惱	(ào nǎo)
懊憹	(ào náo)
懊喪	(ào sàng)
八	(bā)
八八六	(bā bā liù)
八佰伴	(bā bǎi bàn)
八拜之交	(bā bài zhī jiāo)
八般頭風	(bā bān tóu fēng)
八寶丹	(bā bǎo dān)
八寶飯	(bā bǎo fàn)
八寶山	(bā bǎo shān)
八寶山革命公墓	(bā bǎo shān gé mìng gōng mù)
八寶眼藥	(bā bǎo yǎn yào)
八寶粥	(bā bǎo zhōu)
八倍體	(bā bèi tǐ)
八輩子	(bā bèi zi)
八邊形	(bā biān xíng)
八步區	(bā bù qū)
八成	(bā chéng)
八沖	(bā chōng)
八達嶺	(bā dá lǐng)
八達通	(bā dá tōng)
八達通卡	(bā dá tōng kǎ)
八大菜系	(bā dà cài xì)
八大元老	(bā dà yuán lǎo)
八帶蛸	(bā dài shāo)
八帶魚	(bā dài yú)
八疸	(bā dǎn)
八疸身面黃	(bā dǎn shēn miàn huáng)
八度	(bā dù)
八段錦	(bā duàn jǐn)
八二丹	(bā èr dān)
八法	(bā fǎ)
八法拳	(bā fǎ quán)
八方	(bā fāng)
八分音符	(bā fēn yīn fú)
八分之一	(bā fēn zhī yī)
八風穴	(bā fēng xué)
八杆子打不著	(bā gān zi dǎ bù zháo)
八竿子打不著	(bā gān zi dǎ bù zháo)
八綱	(bā gāng)
八綱辨證	(bā gāng biàn zhèng)
八哥	(bā ge)
八哥兒	(bā gē r)
八哥狗	(bā gē gǒu)
八公山區	(bā gōng shān qū)
八股	(bā gǔ)
八股文	(bā gǔ wén)
八卦	(bā guà)
八卦拳	(bā guà quán)
八卦山	(bā guà shān)
八卦掌	(bā guà zhǎng)
八卦陣	(bā guà zhèn)
八會穴	(bā huì xué)
八級風	(bā jí fēng)
八級工	(bā jí gōng)
八級工資制	(bā jí gōng zī zhì)
八極拳	(bā jí quán)
八加一	(bā jiā yī)
八家將	(bā jiā jiàng)
八角	(bā jiǎo)
八角床	(bā jiǎo chuáng)
八角楓	(bā jiǎo fēng)
八角茴香	(bā jiǎo huí xiāng)
八角街	(bā jiǎo jiē)
八角籠	(bā jiǎo lóng)
八角形	(bā jiǎo xíng)
八戒	(bā jiè)
八進制	(bā jìn zhì)
八九不離十	(bā jiǔ bù lí shí)
八開	(bā kāi)
八苦	(bā kǔ)
八塊腹肌	(bā kuài fù jī)
八廓	(bā kuò)
八廓街	(bā kuò jiē)
八老	(bā lǎo)
八里	(bā lǐ)
八里鄉	(bā lǐ xiāng)
八路軍	(bā lù jūn)
八美	(bā měi)
八面玲瓏	(bā miàn líng lóng)
八面體	(bā miàn tǐ)
八目鰻	(bā mù mán)
八婆	(bā pó)
八岐大蛇	(bā qí dà shé)
八旗子弟	(bā qí zǐ dì)
八強	(bā qiáng)
八強賽	(bā qiáng sài)
八榮八恥	(bā róng bā chǐ)
八聲杜鵑	(bā shēng dù juān)
八十	(bā shí)
八十天環遊地球	(bā shí tiān huán yóu dì qiú)
八宿縣	(bā sù xiàn)
八抬大轎	(bā tái dà jiào)
八仙	(bā xiān)
八仙過海，各顯神通	(bā xiān guò hǎi , gè xiǎn shén tōng)
八仙桌	(bā xiān zhuō)
八相成道	(bā xiàng chéng dào)
八小時工作制	(bā xiǎo shí gōng zuò zhì)
八行書	(bā háng shū)
八音	(bā yīn)
八音盒	(bā yīn hé)
八月	(bā yuè)
八月份	(bā yuè fèn)
八月之光	(bā yuè zhī guāng)
八爪魚	(bā zhuǎ yú)
八珍湯	(bā zhēn tāng)
八正道	(bā zhèng dào)
八重奏	(bā chóng zòu)
八字	(bā zì)
八字步	(bā zì bù)
八字方針	(bā zì fāng zhēn)
八字還沒一撇	(bā zì hái méi yī piě)
八字還沒一撇兒	(bā zì hái méi yī piě r)
八字鬍	(bā zì hú)
八字鬍鬚	(bā zì hú xū)
八字腳	(bā zì jiǎo)
八字沒一撇	(bā zì méi yī piě)
八字眉	(bā zì méi)
八字命理	(bā zì mìng lǐ)
八字形	(bā zì xíng)
丷	(bā)
仈	(bā)
巴	(bā)
巴阿	(bā ā)
巴巴	(bā bā)
巴巴多斯	(bā bā duō sī)
巴巴結結	(bā bā jiē jiē)
巴巴拉	(bā bā lā)
巴寶莉	(bā bǎo lì)
巴貝蟲病	(bā bèi chóng bìng)
巴貝多	(bā bèi duō)
巴貝氏蟲病	(bā bèi shì chóng bìng)
巴比Q	(bā bǐ q)
巴比倫	(bā bǐ lún)
巴比妥	(bā bǐ tuǒ)
巴閉	(bā bì)
巴不得	(bā bu de)
巴不能夠	(bā bù néng gòu)
巴布·狄倫	(bā bù dí lún)
巴布爾	(bā bù ěr)
巴布拉族	(bā bù lā zú)
巴布亞紐幾內亞	(bā bù yà niǔ jī nèi yà)
巴布亞新幾內亞	(bā bù yà xīn jǐ nèi yà)
巴布延群島	(bā bù yán qún dǎo)
巴楚縣	(bā chǔ xiàn)
巴達木	(bā dá mù)
巴旦木	(bā dàn mù)
巴旦杏	(bā dàn xìng)
巴德爾	(bā dé ěr)
巴登	(bā dēng)
巴登－符騰堡州	(bā dēng fú téng bǎo zhōu)
巴東縣	(bā dōng xiàn)
巴斗	(bā dǒu)
巴豆	(bā dòu)
巴豆殼	(bā dòu ké)
巴豆屬	(bā dòu shǔ)
巴豆樹	(bā dòu shù)
巴爾的摩	(bā ěr dì mó)
巴爾多祿茂	(bā ěr duō lù mào)
巴爾幹	(bā ěr gàn)
巴爾幹半島	(bā ěr gàn bàn dǎo)
巴爾喀什湖	(bā ěr kā shí hú)
巴爾舍夫斯基	(bā ěr shě fū sī jī)
巴爾扎克	(bā ěr zhā kè)
巴伐利亞	(bā fá lì yà)
巴甫洛夫	(bā fǔ luò fū)
巴高望上	(bā gāo wàng shàng)
巴哥	(bā gē)
巴哥犬	(bā gē quǎn)
巴格達	(bā gé dá)
巴格蘭	(bā gé lán)
巴格蘭省	(bā gé lán shěng)
巴哈	(bā hā)
巴哈馬	(bā hā mǎ)
巴哈伊	(bā hā yī)
巴赫	(bā hè)
巴唧	(bā ji)
巴唧巴唧	(bā ji bā ji)
巴基斯坦	(bā jī sī tǎn)
巴戟	(bā jǐ)
巴結	(bā jie)
巴解	(bā jiě)
巴解組織	(bā jiě zǔ zhī)
巴金	(bā jīn)
巴金森氏症	(bā jīn sēn shì zhèng)
巴卡拉瓦	(bā kǎ lā wǎ)
巴克科斯	(bā kè kē sī)
巴克拉瓦	(bā kè lā wǎ)
巴克萊	(bā kè lái)
巴克萊銀行	(bā kè lái yín háng)
巴克斯	(bā kè sī)
巴克特里亞	(bā kè tè lǐ yà)
巴克夏豬	(bā kè xià zhū)
巴控克什米爾	(bā kòng kè shí mǐ ěr)
巴枯寧主義	(bā kū níng zhǔ yì)
巴庫	(bā kù)
巴拉巴斯	(bā lā bā sī)
巴拉圭	(bā lā guī)
巴拉基列夫	(bā lā jī liè fū)
巴拉克	(bā lā kè)
巴拉馬利波	(bā lā mǎ lì bō)
巴勒莫	(bā lè mò)
巴勒斯坦	(bā lè sī tǎn)
巴勒斯坦解放組織	(bā lè sī tǎn jiě fàng zǔ zhī)
巴勒斯坦民族權力機構	(bā lè sī tǎn mín zú quán lì jī gòu)
巴厘	(bā lí)
巴厘島	(bā lí dǎo)
巴黎	(bā lí)
巴黎大學	(bā lí dà xué)
巴黎綠	(bā lí lǜ)
巴黎聖母院	(bā lí shèng mǔ yuàn)
巴里	(bā lǐ)
巴里坤草原	(bā lǐ kūn cǎo yuán)
巴里坤哈薩克自治縣	(bā lǐ kūn hā sà kè zì zhì xiàn)
巴力	(bā lì)
巴力門	(bā lì mén)
巴利	(bā lì)
巴利文	(bā lì wén)
巴林	(bā lín)
巴林右	(bā lín yòu)
巴林右旗	(bā lín yòu qí)
巴林左	(bā lín zuǒ)
巴林左旗	(bā lín zuǒ qí)
巴錄	(bā lù)
巴倫西亞	(bā lún xī yà)
巴倫支海	(bā lún zhī hǎi)
巴羅克	(bā luó kè)
巴洛克	(bā luò kè)
巴馬科	(bā mǎ kē)
巴馬乾酪	(bā mǎ gān lào)
巴馬瑤族自治縣	(bā mǎ yáo zú zì zhì xiàn)
巴莫	(bā mò)
巴拿芬	(bā ná fēn)
巴拿馬	(bā ná mǎ)
巴拿馬城	(bā ná mǎ chéng)
巴拿馬運河	(bā ná mǎ yùn hé)
巴南區	(bā nán qū)
巴尼亞盧卡	(bā ní yà lú kǎ)
巴紐	(bā niǔ)
巴前算後	(bā qián suàn hòu)
巴青縣	(bā qīng xiàn)
巴瑞	(bā ruì)
巴薩	(bā sà)
巴塞爾	(bā sài ěr)
巴塞隆納	(bā sài lóng nà)
巴塞羅那	(bā sài luó nà)
巴三覽四	(bā sān lǎn sì)
巴沙魚	(bā shā yú)
巴剎	(bā shā)
巴山	(bā shān)
巴山蜀水	(bā shān shǔ shuǐ)
巴山夜雨	(bā shān yè yǔ)
巴山越嶺	(bā shān yuè lǐng)
巴蛸	(bā shāo)
巴生	(bā shēng)
巴士	(bā shì)
巴士底	(bā shì dǐ)
巴士海峽	(bā shì hǎi xiá)
巴士拉	(bā shì lā)
巴士站	(bā shì zhàn)
巴氏	(bā shì)
巴氏殺菌	(bā shì shā jūn)
巴氏塗片	(bā shì tú piàn)
巴適	(bā shì)
巴蜀	(bā shǔ)
巴斯	(bā sī)
巴斯德	(bā sī dé)
巴斯蒂亞	(bā sī dì yà)
巴斯克	(bā sī kè)
巴斯克語	(bā sī kè yǔ)
巴斯特爾	(bā sī tè ěr)
巴松	(bā sōng)
巴松管	(bā sōng guǎn)
巴頌管	(bā sòng guǎn)
巴坦群島	(bā tǎn qún dǎo)
巴塘縣	(bā táng xiàn)
巴特	(bā tè)
巴特納	(bā tè nà)
巴鐵	(bā tiě)
巴頭探腦	(bā tóu tàn nǎo)
巴吞魯日	(bā tūn lǔ rì)
巴望	(bā wàng)
巴烏	(bā wū)
巴西	(bā xī)
巴西利亞	(bā xī lì yà)
巴西柔術	(bā xī róu shù)
巴西戰舞	(bā xī zhàn wǔ)
巴希爾	(bā xī ěr)
巴仙	(bā xiān)
巴先	(bā xiān)
巴縣	(bā xiàn)
巴心巴肝	(bā xīn bā gān)
巴新	(bā xīn)
巴顏喀拉	(bā yán kā lā)
巴彥淖爾市	(bā yàn nào ěr shì)
巴彥縣	(bā yàn xiàn)
巴耶利巴	(bā yē lì bā)
巴伊蘭大學	(bā yī lán dà xué)
巴宜區	(bā yí qū)
巴以	(bā yǐ)
巴音布克草原	(bā yīn bù kè cǎo yuán)
巴音郭楞蒙古自治州	(bā yīn guō léng měng gǔ zì zhì zhōu)
巴音滿都呼	(bā yīn mǎn dū hū)
巴宰族	(bā zǎi zú)
巴扎	(bā zhā)
巴掌	(bā zhang)
巴中市	(bā zhōng shì)
巴州	(bā zhōu)
巴州區	(bā zhōu qū)
巴祖卡	(bā zǔ kǎ)
扒	(bā)
扒車	(bā chē)
扒釘	(bā dīng)
扒飯	(pá fàn)
扒糞	(pá fèn)
扒高踩低	(pá gāo cǎi dī)
扒糕	(pá gāo)
扒灰	(pá huī)
扒開	(bā kāi)
扒拉	(bā la)
扒犁	(pá lí)
扒摟	(pá lou)
扒皮	(bā pí)
扒竊	(pá qiè)
扒手	(pá shǒu)
扒頭兒	(bā tou r)
扒屋牽牛	(bā wū qiān niú)
叭	(bā)
叭啦狗	(bā lā gǒu)
朳	(bā)
岜	(bā)
捌	(bā)
䰾	(bā)
䰾魚	(bā yú)
拔	(bá)
拔出蘿蔔帶出泥	(bá chū luó bo dài chū ní)
拔除	(bá chú)
拔萃	(bá cuì)
拔地	(bá dì)
拔地而起	(bá dì ér qǐ)
拔掉	(bá diào)
拔釘錘	(bá dīng chuí)
拔頂	(bá dǐng)
拔毒	(bá dú)
拔高	(bá gāo)
拔根	(bá gēn)
拔根汗毛比腰粗	(bá gēn hàn máo bǐ yāo cū)
拔罐	(bá guàn)
拔罐法	(bá guàn fǎ)
拔罐子	(bá guàn zi)
拔海	(bá hǎi)
拔河	(bá hé)
拔火罐	(bá huǒ guàn)
拔火罐兒	(bá huǒ guàn r)
拔尖	(bá jiān)
拔尖兒	(bá jiān r)
拔節	(bá jié)
拔節期	(bá jié qī)
拔涼拔涼	(bá liáng bá liáng)
拔毛	(bá máo)
拔毛連茹	(bá máo lián rú)
拔茅連茹	(bá máo lián rú)
拔茅茹	(bá máo rú)
拔錨	(bá máo)
拔苗助長	(bá miáo zhù zhǎng)
拔取	(bá qǔ)
拔群	(bá qún)
拔染	(bá rǎn)
拔示巴	(bá shì bā)
拔絲	(bá sī)
拔腿	(bá tuǐ)
拔牙	(bá yá)
拔秧	(bá yāng)
拔營	(bá yíng)
拔擢	(bá zhuó)
妭	(bá)
把	(bǎ)
把拔	(bǎ bá)
把柄	(bǎ bǐng)
把持	(bǎ chí)
把持不定	(bǎ chí bù dìng)
把舵	(bǎ duò)
把兒	(bà r)
把方便當隨便	(bǎ fāng biàn dàng suí biàn)
把風	(bǎ fēng)
把關	(bǎ guān)
把酒	(bǎ jiǔ)
把酒言歡	(bǎ jiǔ yán huān)
把控	(bǎ kòng)
把立	(bǎ lì)
把馬子	(bǎ mǎ zi)
把脈	(bǎ mài)
把妹	(bǎ mèi)
把袂	(bǎ mèi)
把門	(bǎ mén)
把尿	(bǎ niào)
把弄	(bǎ nòng)
把屎	(bǎ shǐ)
把式	(bǎ shì)
把手	(bǎ shǒu)
把守	(bǎ shǒu)
把頭	(bǎ tóu)
把玩	(bǎ wán)
把穩	(bǎ wěn)
把握	(bǎ wò)
把戲	(bǎ xì)
把心放在肚子裡	(bǎ xīn fàng zài dù zi lǐ)
把兄弟	(bǎ xiōng dì)
把子	(bà zi)
把總	(bǎ zǒng)
㞎	(bǎ)
㞎㞎	(bǎ ba)
弝	(bà)
垻	(bà)
壩	(bà)
欛	(bà)
吧	(ba)
吧嗒	(bā da)
吧唧	(bā jī)
吧唧吧唧	(bā ji bā ji)
吧啦吧啦	(bā lā bā lā)
吧女	(bā nǚ)
吧台	(bā tái)
吧托	(bā tuō)
吧托女	(bā tuō nǚ)
吧務	(bā wù)
吧主	(bā zhǔ)
掰	(bāi)
掰掰	(bāi bāi)
掰扯	(bāi che)
掰開	(bāi kāi)
掰開揉碎	(bāi kāi róu suì)
掰手腕	(bāi shǒu wàn)
掰彎	(bāi wān)
掰腕子	(bāi wàn zi)
掰直	(bāi zhí)
佰	(bǎi)
柏	(bǎi)
柏柏爾	(bò bò ěr)
柏蒂切利	(bó dì qiè lì)
柏節松操	(bǎi jié sōng cāo)
柏舉之戰	(bǎi jǔ zhī zhàn)
柏克郡	(bó kè jùn)
柏克萊	(bǎi kè lái)
柏拉圖	(bó lā tú)
柏拉圖哲學	(bó lā tú zhé xué)
柏遼茲	(bó liáo zī)
柏林	(bó lín)
柏林工業大學	(bó lín gōng yè dà xué)
柏林牆	(bó lín qiáng)
柏林圍牆	(bó lín wéi qiáng)
柏崎	(bǎi qí)
柏崎市	(bǎi qí shì)
柏崎刈羽	(bǎi qí yì yǔ)
柏青哥	(bó qīng gē)
柏樹	(bǎi shù)
柏鄉縣	(bǎi xiāng xiàn)
柏油	(bǎi yóu)
柏油路	(bǎi yóu lù)
柏油馬路	(bǎi yóu mǎ lù)
柏悅	(bó yuè)
柏孜克里克千佛洞	(bó zī kè lǐ kè qiān fó dòng)
栢	(bǎi)
捭	(bǎi)
擺	(bǎi)
擺布	(bǎi bù)
擺出	(bǎi chū)
擺蕩	(bǎi dàng)
擺地攤	(bǎi dì tān)
擺動	(bǎi dòng)
擺渡	(bǎi dù)
擺渡車	(bǎi dù chē)
擺放	(bǎi fàng)
擺花架子	(bǎi huā jià zi)
擺晃	(bǎi huàng)
擺架子	(bǎi jià zi)
擺闊	(bǎi kuò)
擺爛	(bǎi làn)
擺了一道	(bǎi le yī dào)
擺龍門陣	(bǎi lóng mén zhèn)
擺輪	(bǎi lún)
擺賣	(bǎi mài)
擺滿	(bǎi mǎn)
擺門面	(bǎi mén miàn)
擺明	(bǎi míng)
擺弄	(bǎi nòng)
擺拍	(bǎi pāi)
擺盤	(bǎi pán)
擺平	(bǎi píng)
擺譜	(bǎi pǔ)
擺譜兒	(bǎi pǔ r)
擺設	(bǎi shè)
擺設兒	(bǎi she r)
擺事實講道理	(bǎi shì shí jiǎng dào lǐ)
擺飾	(bǎi shì)
擺手	(bǎi shǒu)
擺攤	(bǎi tān)
擺攤子	(bǎi tān zi)
擺脫	(bǎi tuō)
擺烏龍	(bǎi wū lóng)
擺線	(bǎi xiàn)
擺樣子	(bǎi yàng zi)
擺造型	(bǎi zào xíng)
擺鐘	(bǎi zhōng)
擺子	(bǎi zi)
拜	(bài)
拜把子	(bài bǎ zi)
拜拜	(bài bai)
拜別	(bài bié)
拜懺	(bài chàn)
拜城縣	(bài chéng xiàn)
拜倒	(bài dǎo)
拜登	(bài dēng)
拜讀	(bài dú)
拜訪	(bài fǎng)
拜佛	(bài fó)
拜會	(bài huì)
拜祭	(bài jì)
拜見	(bài jiàn)
拜節	(bài jié)
拜金	(bài jīn)
拜金女	(bài jīn nǚ)
拜金主義	(bài jīn zhǔ yì)
拜科努爾	(bài kē nǔ ěr)
拜科努爾航天發射基地	(bài kē nǔ ěr háng tiān fā shè jī dì)
拜倫	(bài lún)
拜魔	(bài mó)
拜你所賜	(bài nǐ suǒ cì)
拜年	(bài nián)
拜票	(bài piào)
拜泉縣	(bài quán xiàn)
拜人為師	(bài rén wéi shī)
拜認	(bài rèn)
拜師	(bài shī)
拜壽	(bài shòu)
拜堂	(bài táng)
拜天地	(bài tiān dì)
拜託	(bài tuō)
拜望	(bài wàng)
拜物教	(bài wù jiào)
拜謁	(bài yè)
拜占庭	(bài zhàn tíng)
敗	(bài)
敗北	(bài běi)
敗筆	(bài bǐ)
敗德	(bài dé)
敗毒	(bài dú)
敗光	(bài guāng)
敗壞	(bài huài)
敗火	(bài huǒ)
敗績	(bài jì)
敗家	(bài jiā)
敗家子	(bài jiā zǐ)
敗局	(bài jú)
敗類	(bài lèi)
敗柳殘花	(bài liǔ cán huā)
敗露	(bài lù)
敗落	(bài luò)
敗訴	(bài sù)
敗退	(bài tuì)
敗亡	(bài wáng)
敗胃	(bài wèi)
敗興	(bài xìng)
敗絮	(bài xù)
敗選	(bài xuǎn)
敗血症	(bài xuè zhèng)
敗戰	(bài zhàn)
敗仗	(bài zhàng)
敗陣	(bài zhèn)
敗子回頭	(bài zǐ huí tóu)
敗走	(bài zǒu)
扳	(bān)
扳本	(bān běn)
扳本兒	(bān běn r)
扳不倒兒	(bān bù dǎo r)
扳道	(bān dào)
扳道岔	(bān dào chà)
扳道員	(bān dào yuán)
扳動	(bān dòng)
扳回	(bān huí)
扳回一城	(bān huí yī chéng)
扳機	(bān jī)
扳價	(bān jià)
扳龍附鳳	(bān lóng fù fèng)
扳平	(bān píng)
扳鉗	(bān qián)
扳手	(bān shǒu)
扳罾	(bān zēng)
扳指	(bān zhǐ)
扳指兒	(bān zhǐ r)
扳子	(bān zi)
攽	(bān)
斑	(bān)
斑白	(bān bái)
斑斑	(bān bān)
斑背大尾鶯	(bān bèi dà wěi yīng)
斑背潛鴨	(bān bèi qián yā)
斑背燕尾	(bān bèi yàn wěi)
斑背噪鶥	(bān bèi zào méi)
斑鱉	(bān biē)
斑剝	(bān bō)
斑駁	(bān bó)
斑駮陸離	(bān bó lù lí)
斑翅鳳頭鵑	(bān chì fèng tóu juān)
斑翅椋鳥	(bān chì liáng niǎo)
斑翅鷯鶥	(bān chì liáo méi)
斑翅擬蠟嘴雀	(bān chì nǐ là zuǐ què)
斑翅山鶉	(bān chì shān chún)
斑翅朱雀	(bān chì zhū què)
斑點	(bān diǎn)
斑點狗	(bān diǎn gǒu)
斑鶇	(bān dōng)
斑海豹	(bān hǎi bào)
斑痕	(bān hén)
斑喉希鶥	(bān hóu xī méi)
斑姬鶲	(bān jī wēng)
斑姬啄木鳥	(bān jī zhuó mù niǎo)
斑魢	(bān jǐ)
斑頸穗鶥	(bān jǐng suì méi)
斑鳩	(bān jiū)
斑塊	(bān kuài)
斑斕	(bān lán)
斑鱧	(bān lǐ)
斑臉海番鴨	(bān liǎn hǎi fān yā)
斑椋鳥	(bān liáng niǎo)
斑羚	(bān líng)
斑鷺	(bān lù)
斑馬	(bān mǎ)
斑馬線	(bān mǎ xiàn)
斑馬魚	(bān mǎ yú)
斑頭大翠鳥	(bān tóu dà cuì niǎo)
斑頭綠擬啄木鳥	(bān tóu lǜ nǐ zhuó mù niǎo)
斑頭鵂鶹	(bān tóu xiū liú)
斑頭雁	(bān tóu yàn)
斑禿	(bān tū)
斑尾塍鷸	(bān wěi chéng yù)
斑尾鵑鳩	(bān wěi juān jiū)
斑尾林鴿	(bān wěi lín gē)
斑尾榛雞	(bān wěi zhēn jī)
斑文鳥	(bān wén niǎo)
斑紋	(bān wén)
斑鶲	(bān wēng)
斑脅姬鶥	(bān xié jī méi)
斑脅田雞	(bān xié tián jī)
斑胸濱鷸	(bān xiōng bīn yù)
斑胸短翅鶯	(bān xiōng duǎn chì yīng)
斑胸鉤嘴鶥	(bān xiōng gōu zuǐ méi)
斑胸田雞	(bān xiōng tián jī)
斑胸噪鶥	(bān xiōng zào méi)
斑岩	(bān yán)
斑腰燕	(bān yāo yàn)
斑魚狗	(bān yú gǒu)
斑疹熱	(bān zhěn rè)
斑疹傷寒	(bān zhěn shāng hán)
斑竹	(bān zhú)
斑嘴鵜鶘	(bān zuǐ tí hú)
斑嘴鴨	(bān zuǐ yā)
搬	(bān)
搬兵	(bān bīng)
搬場	(bān chǎng)
搬出去	(bān chū qù)
搬唇遞舌	(bān chún dì shé)
搬動	(bān dòng)
搬家	(bān jiā)
搬口	(bān kǒu)
搬弄	(bān nòng)
搬弄是非	(bān nòng shì fēi)
搬鋪	(bān pù)
搬起石頭砸自己的腳	(bān qǐ shí tou zá zì jǐ de jiǎo)
搬遷	(bān qiān)
搬遷戶	(bān qiān hù)
搬請	(bān qǐng)
搬石頭砸自己的腳	(bān shí tou zá zì jǐ de jiǎo)
搬唆	(bān suō)
搬楦頭	(bān xuàn tou)
搬移	(bān yí)
搬用	(bān yòng)
搬運	(bān yùn)
搬運工	(bān yùn gōng)
搬指	(bān zhǐ)
搬磚	(bān zhuān)
搬磚砸腳	(bān zhuān zá jiǎo)
搬走	(bān zǒu)
斒	(bān)
坂	(bǎn)
坂本	(bǎn běn)
坂井	(bǎn jǐng)
岅	(bǎn)
板	(bǎn)
板板	(bǎn bǎn)
板板六十四	(bǎn bǎn liù shí sì)
板壁	(bǎn bì)
板擦	(bǎn cā)
板擦兒	(bǎn cā r)
板材	(bǎn cái)
板車	(bǎn chē)
板寸	(bǎn cùn)
板凳	(bǎn dèng)
板兒爺	(bǎn r yé)
板房	(bǎn fáng)
板斧	(bǎn fǔ)
板溝	(bǎn gōu)
板鼓	(bǎn gǔ)
板規	(bǎn guī)
板胡	(bǎn hú)
板結	(bǎn jié)
板塊	(bǎn kuài)
板塊構造	(bǎn kuài gòu zào)
板塊理論	(bǎn kuài lǐ lùn)
板藍根	(bǎn lán gēn)
板栗	(bǎn lì)
板臉	(bǎn liǎn)
板梁橋	(bǎn liáng qiáo)
板樓	(bǎn lóu)
板門店	(bǎn mén diàn)
板麵	(bǎn miàn)
板皮	(bǎn pí)
板橋	(bǎn qiáo)
板橋市	(bǎn qiáo shì)
板球	(bǎn qiú)
板上釘釘	(bǎn shàng dìng dīng)
板式塔	(bǎn shì tǎ)
板書	(bǎn shū)
板刷	(bǎn shuā)
板條	(bǎn tiáo)
板條箱	(bǎn tiáo xiāng)
板鞋	(bǎn xié)
板鴨	(bǎn yā)
板牙	(bǎn yá)
板煙	(bǎn yān)
板岩	(bǎn yán)
板眼	(bǎn yǎn)
板油	(bǎn yóu)
板羽球	(bǎn yǔ qiú)
板扎	(bǎn zhā)
板紙	(bǎn zhǐ)
板滯	(bǎn zhì)
板主	(bǎn zhǔ)
板築	(bǎn zhù)
板磚	(bǎn zhuān)
板樁	(bǎn zhuāng)
板狀	(bǎn zhuàng)
板子	(bǎn zi)
昄	(bǎn)
半	(bàn)
半白	(bàn bái)
半百	(bàn bǎi)
半半拉拉	(bàn bàn lā lā)
半保留複製	(bàn bǎo liú fù zhì)
半寶石	(bàn bǎo shí)
半輩子	(bàn bèi zi)
半壁江山	(bàn bì jiāng shān)
半邊	(bàn biān)
半邊天	(bàn biān tiān)
半表半裡	(bàn biǎo bàn lǐ)
半長軸	(bàn cháng zhóu)
半場	(bàn chǎng)
半成品	(bàn chéng pǐn)
半翅目	(bàn chì mù)
半打	(bàn dá)
半大	(bàn dà)
半大不小	(bàn dà bù xiǎo)
半大小子	(bàn dà xiǎo zǐ)
半島	(bàn dǎo)
半島電視台	(bàn dǎo diàn shì tái)
半島國際學校	(bàn dǎo guó jì xué xiào)
半導瓷	(bàn dǎo cí)
半導體	(bàn dǎo tǐ)
半點	(bàn diǎn)
半吊子	(bàn diào zi)
半懂不懂	(bàn dǒng bù dǒng)
半蹲	(bàn dūn)
半分	(bàn fēn)
半分兒	(bàn fēn r)
半封建	(bàn fēng jiàn)
半封建半殖民地	(bàn fēng jiàn bàn zhí mín dì)
半復賽	(bàn fù sài)
半個	(bàn ge)
半個人	(bàn ge rén)
半工半讀	(bàn gōng bàn dú)
半公開	(bàn gōng kāi)
半拱	(bàn gǒng)
半官方	(bàn guān fāng)
半胱氨酸	(bàn guāng ān suān)
半規管	(bàn guī guǎn)
半規則	(bàn guī zé)
